HRU_ID,SubId_2
"214642",
"214642",
"214089",
"214089",
"214089",
"214089",
"214089",
"214089",
"214089",
"214089",
"213536",
"213536",
"213536",
"213536",
"213536",
"213536",
"213536",
"213536",
"212983",
"212983",
"212983",
"212983",
"212983",
"212983",
"212983",
"212983",
"212430",
"212430",
"212430",
"212430",
"212430",
"212430",
"212430",
"212430",
"211877",
"211877",
"211877",
"211877",
"211877",
"211877",
"211877",
"211877",
"211324",
"211324",
"211324",
"211324",
"211324",
"211324",
"211324",
"211324",
"210771",
"210771",
"210771",
"210771",
"210771",
"210771",
"210771",
"210771",
"210218",
"210218",
"210218",
"210218",
"210218",
"210218",
"210218",
"210218",
"209665",
"209665",
"209665",
"209665",
"209665",
"209665",
"209665",
"209665",
"209112",
"209112",
"209112",
"209112",
"209112",
"209112",
"209112",
"209112",
"208559",
"208559",
"208559",
"208559",
"208559",
"208559",
"208559",
"208559",
"208006",
"208006",
"208006",
"208006",
"208006",
"208006",
"208006",
"208006",
"207453",
"207453",
"207453",
"207453",
"207453",
"207453",
"207453",
"207453",
"206900",
"206900",
"206900",
"206900",
"206900",
"206900",
"206900",
"206900",
"216855",
"216855",
"216855",
"216855",
"216855",
"216855",
"216855",
"216855",
"216302",
"216302",
"216302",
"216302",
"216302",
"216302",
"216302",
"216302",
"215749",
"215749",
"215749",
"215749",
"215749",
"215749",
"215749",
"215749",
"215196",
"215196",
"215196",
"215196",
"215196",
"215196",
"215196",
"215196",
"214643",
"214643",
"214643",
"214643",
"214643",
"214643",
"214643",
"214643",
"214090",
"214090",
"214090",
"214090",
"214090",
"214090",
"214090",
"214090",
"213537",
"213537",
"213537",
"213537",
"213537",
"213537",
"213537",
"213537",
"212984",
"212984",
"212984",
"212984",
"212984",
"212984",
"212984",
"212984",
"212431",
"212431",
"212431",
"212431",
"212431",
"212431",
"212431",
"212431",
"211878",
"211878",
"211878",
"211878",
"211878",
"211878",
"211878",
"211878",
"211325",
"211325",
"211325",
"211325",
"211325",
"211325",
"211325",
"211325",
"210772",
"210772",
"210772",
"210772",
"210772",
"210772",
"210772",
"210772",
"210219",
"210219",
"210219",
"210219",
"210219",
"210219",
"210219",
"210219",
"209666",
"209666",
"209666",
"209666",
"209666",
"209666",
"209666",
"209666",
"209113",
"209113",
"209113",
"209113",
"209113",
"209113",
"209113",
"209113",
"208560",
"208560",
"208560",
"208560",
"208560",
"208560",
"208560",
"208560",
"208007",
"208007",
"208007",
"208007",
"208007",
"208007",
"208007",
"208007",
"207454",
"207454",
"207454",
"207454",
"207454",
"207454",
"207454",
"207454",
"206901",
"206901",
"206901",
"206901",
"206901",
"206901",
"206901",
"206901",
"206348",
"206348",
"206348",
"206348",
"206348",
"206348",
"206348",
"206348",
"216856",
"216856",
"216856",
"216856",
"216856",
"216856",
"216856",
"216856",
"216303",
"216303",
"216303",
"216303",
"216303",
"216303",
"216303",
"216303",
"215750",
"215750",
"215750",
"215750",
"215750",
"215750",
"215750",
"215750",
"215197",
"215197",
"215197",
"215197",
"215197",
"215197",
"215197",
"215197",
"214644",
"214644",
"214644",
"214644",
"214644",
"214644",
"214644",
"214644",
"214091",
"214091",
"214091",
"214091",
"214091",
"214091",
"214091",
"214091",
"213538",
"213538",
"213538",
"213538",
"213538",
"213538",
"213538",
"213538",
"212985",
"212985",
"212985",
"212985",
"212985",
"212985",
"212985",
"212985",
"212432",
"212432",
"212432",
"212432",
"212432",
"212432",
"212432",
"212432",
"211879",
"211879",
"211879",
"211879",
"211879",
"211879",
"211879",
"211879",
"211326",
"211326",
"211326",
"211326",
"211326",
"211326",
"211326",
"211326",
"210773",
"210773",
"210773",
"210773",
"210773",
"210773",
"210773",
"210773",
"210220",
"210220",
"210220",
"210220",
"210220",
"210220",
"210220",
"210220",
"209667",
"209667",
"209667",
"209667",
"209667",
"209667",
"209667",
"209667",
"209114",
"209114",
"209114",
"209114",
"209114",
"209114",
"209114",
"209114",
"208561",
"208561",
"208561",
"208561",
"208561",
"208561",
"208561",
"208561",
"208008",
"208008",
"208008",
"208008",
"208008",
"208008",
"208008",
"208008",
"207455",
"207455",
"207455",
"207455",
"207455",
"207455",
"207455",
"207455",
"206902",
"206902",
"206902",
"206902",
"206902",
"206902",
"206902",
"206902",
"206349",
"206349",
"206349",
"206349",
"206349",
"206349",
"206349",
"206349",
"216857",
"216857",
"216857",
"216857",
"216857",
"216857",
"216857",
"216857",
"216304",
"216304",
"216304",
"216304",
"216304",
"216304",
"216304",
"216304",
"215751",
"215751",
"215751",
"215751",
"215751",
"215751",
"215751",
"215751",
"215198",
"215198",
"215198",
"215198",
"215198",
"215198",
"215198",
"215198",
"214645",
"214645",
"214645",
"214645",
"214645",
"214645",
"214645",
"214645",
"214092",
"214092",
"214092",
"214092",
"214092",
"214092",
