HRU_ID,row,column,delx,dely,area,node,newnode,noflow,pinched,SubId,DowSubId
"122214",,,,,,,,,,,
"121661",,,,,,,,,,,
"121108",,,,,,,,,,,
"120555",,,,,,,,,,,
"120002",,,,,,,,,,,
"119449",,,,,,,,,,,
"118896",,,,,,,,,,,
"118343",,,,,,,,,,,
"117790",,,,,,,,,,,
"117237",,,,,,,,,,,
"116684",,,,,,,,,,,
"116131",,,,,,,,,,,
"115578",,,,,,,,,,,
"115025",,,,,,,,,,,
"114472",,,,,,,,,,,
"113919",,,,,,,,,,,
"113366",,,,,,,,,,,
"112813",,,,,,,,,,,
"112260",,,,,,,,,,,
"111707",,,,,,,,,,,
"111154",,,,,,,,,,,
"110601",,,,,,,,,,,
"110048",,,,,,,,,,,
"109495",,,,,,,,,,,
"108942",,,,,,,,,,,
"108389",,,,,,,,,,,
"107836",,,,,,,,,,,
"107283",,,,,,,,,,,
"106730",,,,,,,,,,,
"106177",,,,,,,,,,,
"105624",,,,,,,,,,,
"105071",,,,,,,,,,,
"104518",,,,,,,,,,,
"103965",,,,,,,,,,,
"103412",,,,,,,,,,,
"102859",,,,,,,,,,,
"102306",,,,,,,,,,,
"101753",,,,,,,,,,,
"101200",,,,,,,,,,,
"100647",,,,,,,,,,,
"100094",,,,,,,,,,,
"99541",,,,,,,,,,,
"98988",,,,,,,,,,,
"98435",,,,,,,,,,,
"97882",,,,,,,,,,,
"97329",,,,,,,,,,,
"96776",,,,,,,,,,,
"96223",,,,,,,,,,,
"95670",,,,,,,,,,,
"95117",,,,,,,,,,,
"94564",,,,,,,,,,,
"94011",,,,,,,,,,,
"93458",,,,,,,,,,,
"92905",,,,,,,,,,,
"92352",,,,,,,,,,,
"91799",,,,,,,,,,,
"91246",,,,,,,,,,,
"90693",,,,,,,,,,,
"90140",,,,,,,,,,,
"89587",,,,,,,,,,,
"89034",,,,,,,,,,,
"88481",,,,,,,,,,,
"87928",,,,,,,,,,,
"87375",,,,,,,,,,,
"86822",,,,,,,,,,,
"86269",,,,,,,,,,,
"85716",,,,,,,,,,,
"85163",,,,,,,,,,,
"84610",,,,,,,,,,,
"84057",,,,,,,,,,,
"83504",,,,,,,,,,,
"82951",,,,,,,,,,,
"82398",,,,,,,,,,,
"81845",,,,,,,,,,,
"81292",,,,,,,,,,,
"80739",,,,,,,,,,,
"80186",,,,,,,,,,,
"79633",,,,,,,,,,,
"79080",,,,,,,,,,,
"78527",,,,,,,,,,,
"77974",,,,,,,,,,,
"77421",,,,,,,,,,,
"76868",,,,,,,,,,,
"76315",,,,,,,,,,,
"75762",,,,,,,,,,,
"75209",,,,,,,,,,,
"74656",,,,,,,,,,,
"74103",,,,,,,,,,,
"73550",,,,,,,,,,,
"72997",,,,,,,,,,,
"72444",,,,,,,,,,,
"71891",,,,,,,,,,,
"71338",,,,,,,,,,,
"70785",,,,,,,,,,,
"70232",,,,,,,,,,,
"69679",,,,,,,,,,,
"69126",,,,,,,,,,,
"68573",,,,,,,,,,,
"68020",,,,,,,,,,,
"67467",,,,,,,,,,,
"66914",,,,,,,,,,,
"66361",,,,,,,,,,,
"65808",,,,,,,,,,,
"65255",,,,,,,,,,,
"64702",,,,,,,,,,,
"64149",,,,,,,,,,,
"63596",,,,,,,,,,,
"63043",,,,,,,,,,,
"62490",,,,,,,,,,,
"61937",,,,,,,,,,,
"61384",,,,,,,,,,,
"60831",,,,,,,,,,,
"60278",,,,,,,,,,,
"59725",,,,,,,,,,,
"59172",,,,,,,,,,,
"58619",,,,,,,,,,,
"58066",,,,,,,,,,,
"57513",,,,,,,,,,,
"56960",,,,,,,,,,,
"56407",,,,,,,,,,,
"55854",,,,,,,,,,,
"55301",,,,,,,,,,,
"54748",,,,,,,,,,,
"54195",,,,,,,,,,,
"53642",,,,,,,,,,,
"53089",,,,,,,,,,,
"52536",,,,,,,,,,,
"51983",,,,,,,,,,,
"51430",,,,,,,,,,,
"50877",,,,,,,,,,,
"50324",,,,,,,,,,,
"49771",,,,,,,,,,,
"49218",,,,,,,,,,,
"48665",,,,,,,,,,,
"48112",,,,,,,,,,,
"47559",,,,,,,,,,,
"47006",,,,,,,,,,,
"46453",,,,,,,,,,,
"45900",,,,,,,,,,,
"45347",,,,,,,,,,,
"44794",,,,,,,,,,,
"44241",,,,,,,,,,,
"43688",,,,,,,,,,,
"43135",,,,,,,,,,,
"42582",,,,,,,,,,,
"42029",,,,,,,,,,,
"41476",,,,,,,,,,,
"40923",,,,,,,,,,,
"40370",,,,,,,,,,,
"39817",,,,,,,,,,,
"39264",,,,,,,,,,,
"38711",,,,,,,,,,,
"38158",,,,,,,,,,,
"37605",,,,,,,,,,,
"37052",,,,,,,,,,,
"36499",,,,,,,,,,,
"35946",,,,,,,,,,,
"35393",,,,,,,,,,,
"34840",,,,,,,,,,,
"34287",,,,,,,,,,,
"33734",,,,,,,,,,,
"33181",,,,,,,,,,,
"32628",,,,,,,,,,,
"32075",,,,,,,,,,,
"31522",,,,,,,,,,,
"30969",,,,,,,,,,,
"30416",,,,,,,,,,,
"29863",,,,,,,,,,,
"29310",,,,,,,,,,,
"28757",,,,,,,,,,,
"28204",,,,,,,,,,,
"27651",,,,,,,,,,,
"27098",,,,,,,,,,,
"26545",,,,,,,,,,,
"25992",,,,,,,,,,,
"25439",,,,,,,,,,,
"24886",,,,,,,,,,,
"24333",,,,,,,,,,,
"23780",,,,,,,,,,,
"23227",,,,,,,,,,,
"22674",,,,,,,,,,,
"22121",,,,,,,,,,,
"21568",,,,,,,,,,,
"21015",,,,,,,,,,,
"20462",,,,,,,,,,,
"19909",,,,,,,,,,,
"19356",,,,,,,,,,,
"18803",,,,,,,,,,,
"18250",,,,,,,,,,,
"17697",,,,,,,,,,,
"17144",,,,,,,,,,,
"16591",,,,,,,,,,,
"16038",,,,,,,,,,,
"15485",,,,,,,,,,,
"14932",,,,,,,,,,,
"14379",,,,,,,,,,,
"13826",,,,,,,,,,,
"13273",,,,,,,,,,,
"12720",,,,,,,,,,,
"12167",,,,,,,,,,,
"11614",,,,,,,,,,,
"11061",,,,,,,,,,,
"10508",,,,,,,,,,,
"9955",,,,,,,,,,,
"9402",,,,,,,,,,,
"8849",,,,,,,,,,,
"8296",,,,,,,,,,,
"7743",,,,,,,,,,,
"7190",,,,,,,,,,,
"6637",,,,,,,,,,,
"6084",,,,,,,,,,,
"5531",,,,,,,,,,,
"4978",,,,,,,,,,,
"4425",,,,,,,,,,,
"3872",,,,,,,,,,,
"3319",,,,,,,,,,,
"2766",,,,,,,,,,,
"2213",,,,,,,,,,,
"1660",,,,,,,,,,,
"1107",,,,,,,,,,,
"554",,,,,,,,,,,
"1",,,,,,,,,,,
"362770",,,,,,,,,,,
"362217",,,,,,,,,,,
"361664",,,,,,,,,,,
"361111",,,,,,,,,,,
"360558",,,,,,,,,,,
"360005",,,,,,,,,,,
"359452",,,,,,,,,,,
"358899",,,,,,,,,,,
"358346",,,,,,,,,,,
"357793",,,,,,,,,,,
"357240",,,,,,,,,,,
"356687",,,,,,,,,,,
"356134",,,,,,,,,,,
"355581",,,,,,,,,,,
"355028",,,,,,,,,,,
"354475",,,,,,,,,,,
"353922",,,,,,,,,,,
"353369",,,,,,,,,,,
"352816",,,,,,,,,,,
"352263",,,,,,,,,,,
"351710",,,,,,,,,,,
"351157",,,,,,,,,,,
"350604",,,,,,,,,,,
"350051",,,,,,,,,,,
"349498",,,,,,,,,,,
"348945",,,,,,,,,,,
"348392",,,,,,,,,,,
"347839",,,,,,,,,,,
"347286",,,,,,,,,,,
"346733",,,,,,,,,,,
"346180",,,,,,,,,,,
"345627",,,,,,,,,,,
"345074",,,,,,,,,,,
