 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     7.1000000E+01   8.2833038E+02   1.0032646E+05   3.3737898E-01   2.5000000E+01   1.0069037E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.9005196E-02   2.9005196E-02
     7.2000000E+01   8.2832874E+02   9.9686320E+04   3.3574784E-01   2.5000000E+01   1.0004773E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8806992E-02   2.8806992E-02
     7.3000000E+01   8.2832733E+02   9.9030539E+04   3.3432892E-01   2.5000000E+01   9.9389898E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8642874E-02   2.8642874E-02
     7.4000000E+01   8.2832605E+02   9.8410086E+04   3.3307153E-01   2.5000000E+01   9.8767609E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8496483E-02   2.8496483E-02
     7.5000000E+01   8.2832501E+02   9.7815773E+04   3.3200270E-01   2.5000000E+01   9.8171789E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8376641E-02   2.8376641E-02
     7.6000000E+01   8.2832422E+02   9.7177805E+04   3.3126089E-01   2.5000000E+01   9.7532984E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8309545E-02   2.8309545E-02
     7.7000000E+01   8.2832330E+02   9.6711891E+04   3.3031926E-01   2.5000000E+01   9.7065578E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8190257E-02   2.8190257E-02
     7.8000000E+01   8.2832196E+02   9.6367477E+04   3.2898161E-01   2.5000000E+01   9.6718852E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.8006800E-02   2.8006800E-02
     7.9000000E+01   8.2832123E+02   9.5848656E+04   3.2824147E-01   2.5000000E+01   9.6199438E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7959054E-02   2.7959054E-02
     8.0000000E+01   8.2832050E+02   9.5425242E+04   3.2751274E-01   2.5000000E+01   9.5775164E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7890908E-02   2.7890908E-02
     8.1000000E+01   8.2831958E+02   9.5115086E+04   3.2657221E-01   2.5000000E+01   9.5463656E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   2.7782481E-02   2.7782481E-02
