 "GAGE No.    4:  K,I,J Coord. =     1,  280,  129;  STREAM SEGMENT =    10;  REACH =     1 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     6.6000000E+01   8.5121844E+02   4.6061656E+04   4.2401623E-02   2.5000000E+01   4.6143383E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3213249E-02   7.3213249E-02
     6.7000000E+01   8.5121820E+02   4.5611250E+04   4.2153522E-02   2.5000000E+01   4.5693109E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3331982E-02   7.3331982E-02
     6.8000000E+01   8.5121796E+02   4.5171422E+04   4.1922234E-02   2.5000000E+01   4.5253406E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3448151E-02   7.3448151E-02
     6.9000000E+01   8.5121771E+02   4.4750766E+04   4.1676968E-02   2.5000000E+01   4.4832879E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3559143E-02   7.3559143E-02
     7.0000000E+01   8.5121747E+02   4.4338090E+04   4.1449625E-02   2.5000000E+01   4.4420320E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3669106E-02   7.3669106E-02
     7.1000000E+01   8.5121722E+02   4.3940617E+04   4.1223507E-02   2.5000000E+01   4.4022969E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3775195E-02   7.3775195E-02
     7.2000000E+01   8.5121704E+02   4.3555723E+04   4.1005071E-02   2.5000000E+01   4.3638188E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3878713E-02   7.3878713E-02
     7.3000000E+01   8.5121680E+02   4.3184105E+04   4.0795196E-02   2.5000000E+01   4.3266688E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.3979467E-02   7.3979467E-02
     7.4000000E+01   8.5121661E+02   4.2826527E+04   4.0592629E-02   2.5000000E+01   4.2909219E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4077301E-02   7.4077301E-02
     7.5000000E+01   8.5121643E+02   4.2483352E+04   4.0397771E-02   2.5000000E+01   4.2566148E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4172296E-02   7.4172296E-02
     7.6000000E+01   8.5121625E+02   4.2153469E+04   4.0218685E-02   2.5000000E+01   4.2236367E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4264988E-02   7.4264988E-02
     7.7000000E+01   8.5121606E+02   4.1842387E+04   4.0039800E-02   2.5000000E+01   4.1925387E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4353784E-02   7.4353784E-02
     7.8000000E+01   8.5121588E+02   4.1549113E+04   3.9863449E-02   2.5000000E+01   4.1632207E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4439816E-02   7.4439816E-02
     7.9000000E+01   8.5121576E+02   4.1271930E+04   3.9705984E-02   2.5000000E+01   4.1355117E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4524216E-02   7.4524216E-02
     8.0000000E+01   8.5121558E+02   4.1016168E+04   3.9560046E-02   2.5000000E+01   4.1099445E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4605420E-02   7.4605420E-02
     8.1000000E+01   8.5121545E+02   4.0784164E+04   3.9422158E-02   2.5000000E+01   4.0867527E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4683480E-02   7.4683480E-02
     8.2000000E+01   8.5121533E+02   4.0577160E+04   3.9302204E-02   2.5000000E+01   4.0660613E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4759535E-02   7.4759535E-02
     8.3000000E+01   8.5121521E+02   4.0398016E+04   3.9194863E-02   2.5000000E+01   4.0481547E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4832134E-02   7.4832134E-02
     8.4000000E+01   8.5121515E+02   4.0248543E+04   3.9106693E-02   2.5000000E+01   4.0332156E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4903600E-02   7.4903600E-02
     8.5000000E+01   8.5121503E+02   4.0136234E+04   3.9031252E-02   2.5000000E+01   4.0219922E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.4969642E-02   7.4969642E-02
     8.6000000E+01   8.5121503E+02   4.0053453E+04   3.8983792E-02   2.5000000E+01   4.0137215E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.5038351E-02   7.5038351E-02
     8.7000000E+01   8.5121497E+02   4.0011918E+04   3.8955353E-02   2.5000000E+01   4.0095750E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.5101681E-02   7.5101681E-02
     8.8000000E+01   8.5121497E+02   4.0012883E+04   3.8938947E-02   2.5000000E+01   4.0096781E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.5158581E-02   7.5158581E-02
     8.9000000E+01   8.5121497E+02   4.0051125E+04   3.8950738E-02   2.5000000E+01   4.0135090E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.5220942E-02   7.5220942E-02
     9.0000000E+01   8.5121503E+02   4.0125344E+04   3.8986288E-02   2.5000000E+01   4.0209367E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.5272769E-02   7.5272769E-02
     9.1000000E+01   8.5121503E+02   4.0260324E+04   3.9021242E-02   2.5000000E+01   4.0344402E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   7.5321108E-02   7.5321108E-02
