Day Scott_River_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Wildcat_Avg_Flow_m3day Sugar_Avg_Flow_m3day McConaughy_Main_Avg_Flow_m3day McConaughy_Branch_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Clark_Avg_Flow_m3day Etna_Avg_Flow_m3day Heartstrand_Avg_Flow_m3day Shell_Avg_Flow_m3day Hamlin_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day McAdams_Avg_Flow_m3day Indian_Avg_Flow_m3day Rattlesnake_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day Sniktaw_Avg_Flow_m3day Patterson_North_Avg_Flow_m3day
2025-06-01 841267.39865937 683400.765014618 24810.3366156598 141767.589818321 19949.6163020901 3242.68161295311 10513.3974847832 358410.659719083 20562.9497849166 184798.469073537 44776.4412195563 6949.7869433116 31610.5705361483 44396.6251213129 6870.05936986065 91311.6839786064 178780.007278899 160539.994845771 54901.6209326309 38647.8780054878 11237.2209376683 86141.8902691748 375336.609543015 44545.1932352056 7564.69299594148
2025-06-02 574420.401439688 401793.986694652 6566.42397153523 115922.804042071 19054.733589891 3095.76238766956 9981.54469948104 176989.88008317 3231.04577205189 188176.949174469 43945.1148006355 6704.37468769161 30738.267377196 43408.4844070887 6601.17488703219 43231.1732903147 193482.234502711 153757.457249841 52129.398684286 36741.5748439871 10663.3511792503 84740.6462437424 293270.99629447 17007.7656582547 7130.45401731823
2025-06-03 507966.88958589 790544.719012922 6663.80956702181 208112.473128018 18261.2086811599 2967.51933509155 9771.69302498565 303630.102694688 2615.9549114659 152933.64391104 43150.1202258566 6485.54047999807 29938.4754722743 42483.3048711159 6365.62721338699 40236.3661897495 177292.415943719 147705.683546203 49491.402993473 34873.8689329295 10123.1394711794 83388.5249607229 237889.565355735 6249.80998205531 6722.13975383668
2025-06-04 581618.510439679 520483.882704701 7014.3460473276 71106.9238105573 17475.41897322 2838.52923560532 9262.12320628683 179355.489303357 2537.33780414185 147904.556129216 42359.7007721918 6265.46430744815 29143.5015908763 41584.8588513054 6127.88953037937 94456.4120618899 173259.255652723 142013.055733205 47169.4718419386 33091.8789936355 9648.80137593073 82099.764896179 347572.641690078 17406.1466143993 6361.27697789124
2025-06-05 446226.731115215 521230.826274838 7093.90775398508 167195.721516634 16733.1064283465 2718.25468338168 8836.78789870401 167441.068301113 2462.94489959941 140533.447093212 41588.9274268409 6057.06260454817 28382.4947753198 40728.1371043838 5904.02190666698 61834.0190856832 135914.192566925 136497.582803187 44942.4945477364 31478.5640514082 9188.88815940222 80830.0487933671 252821.101786109 10153.7048008017 6016.61714890937
2025-06-06 522019.851172869 466609.751984908 7001.17186862782 151116.250400853 16024.1352661929 2603.20945951557 8443.53026831943 233597.332712504 2390.89877438007 119323.21777534 40831.0720705181 5855.36751187263 27641.7236585625 39907.3931736059 5689.40098915141 35552.9482270354 138224.590113822 131290.349188238 42828.4935143828 29961.9928667855 8755.42055386071 79591.1233950395 241748.639540082 16736.7711874881 5694.64144567646
2025-06-07 596034.30115031 416506.303971612 6802.26760198415 109435.673756399 15316.4977593481 2488.16423564948 7991.01463883581 213436.36767103 2319.08732709302 108550.872585092 40076.1770866809 5652.67884731198 26901.1934429815 39111.6338373723 5476.24007787744 34948.3615445761 140654.629401645 126182.892461405 40822.8958932242 28516.3503956395 8343.59026639947 78365.902529921 261360.919631844 18462.4525268594 5391.4148667871
2025-06-08 467566.857535636 400564.575807022 6544.20868980619 118526.953193898 14606.7264040092 2372.8699961473 7529.92863758166 118329.096723003 2248.68394739985 111211.743190902 39321.8203523866 5448.00303898114 26161.626832105 38338.1107902828 5264.29583847148 43027.5800797041 114764.234991026 121064.490820824 38855.4950078765 27135.1202190643 7939.21283294366 77124.1294363802 258511.366061524 18825.5278653337 5097.44711473404
2025-06-09 447975.552811688 363632.338765975 6261.60964083454 51927.86930465 13906.2906358318 2259.56788173372 7099.20623917166 103579.984344226 2180.15799116518 108922.378385665 38574.7299869207 5245.56276739177 25433.141675333 37589.5723377378 5057.70495528472 44911.5268866338 121986.601557667 116000.559216103 36902.081659586 25791.9860299395 7537.72037523188 75863.8463239601 203904.04432469 18165.933048723 4809.03465878278
2025-06-10 431678.579948821 441089.628546546 5974.61919896295 174181.711264969 13224.2593109158 2149.50297058909 6691.50141065962 111990.507811481 2114.44817011821 107024.100171059 37835.9824893688 5047.59356928536 24721.7605020699 36866.7680175732 4857.68410018518 44766.7666950591 129885.110401572 111071.275503761 34988.4789936899 24471.158043993 7144.88284475222 74590.9265640343 217473.540513744 16874.6539375789 4530.11250033875
