STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SFJ,D,41,M FLOW,20020405 0000,20020405 0000,1261, ,CFS
SFJ,D,41,M FLOW,20020406 0000,20020406 0000,1268, ,CFS
SFJ,D,41,M FLOW,20020407 0000,20020407 0000,1162, ,CFS
SFJ,D,41,M FLOW,20020408 0000,20020408 0000,1070, ,CFS
SFJ,D,41,M FLOW,20020409 0000,20020409 0000,1213, ,CFS
SFJ,D,41,M FLOW,20020410 0000,20020410 0000,1392, ,CFS
SFJ,D,41,M FLOW,20020411 0000,20020411 0000,1257, ,CFS
SFJ,D,41,M FLOW,20020412 0000,20020412 0000,1318, ,CFS
SFJ,D,41,M FLOW,20020413 0000,20020413 0000,1273, ,CFS
SFJ,D,41,M FLOW,20020414 0000,20020414 0000,2040, ,CFS
SFJ,D,41,M FLOW,20020415 0000,20020415 0000,2086, ,CFS
SFJ,D,41,M FLOW,20020416 0000,20020416 0000,1487, ,CFS
SFJ,D,41,M FLOW,20020417 0000,20020417 0000,1201, ,CFS
SFJ,D,41,M FLOW,20020418 0000,20020418 0000,984, ,CFS
SFJ,D,41,M FLOW,20020419 0000,20020419 0000,857, ,CFS
SFJ,D,41,M FLOW,20020420 0000,20020420 0000,773, ,CFS
SFJ,D,41,M FLOW,20020421 0000,20020421 0000,696, ,CFS
SFJ,D,41,M FLOW,20020422 0000,20020422 0000,671, ,CFS
SFJ,D,41,M FLOW,20020423 0000,20020423 0000,665, ,CFS
SFJ,D,41,M FLOW,20020424 0000,20020424 0000,684, ,CFS
SFJ,D,41,M FLOW,20020425 0000,20020425 0000,705, ,CFS
SFJ,D,41,M FLOW,20020426 0000,20020426 0000,756, ,CFS
SFJ,D,41,M FLOW,20020427 0000,20020427 0000,748, ,CFS
SFJ,D,41,M FLOW,20020428 0000,20020428 0000,702, ,CFS
SFJ,D,41,M FLOW,20020429 0000,20020429 0000,652, ,CFS
SFJ,D,41,M FLOW,20020430 0000,20020430 0000,788, ,CFS
SFJ,D,41,M FLOW,20020501 0000,20020501 0000,808, ,CFS
SFJ,D,41,M FLOW,20020502 0000,20020502 0000,758, ,CFS
SFJ,D,41,M FLOW,20020503 0000,20020503 0000,761, ,CFS
SFJ,D,41,M FLOW,20020504 0000,20020504 0000,764, ,CFS
SFJ,D,41,M FLOW,20020505 0000,20020505 0000,781, ,CFS
SFJ,D,41,M FLOW,20020506 0000,20020506 0000,813, ,CFS
