layer	row	column	UTM_E	UTM_N
2	72	32	503127	4608180
2	72	36	503527	4608180
2	72	52	505127	4608180
2	72	56	505527	4608180
2	72	60	505927	4608180
2	72	64	506327	4608180
2	72	80	507927	4608180
2	72	84	508327	4608180
2	72	88	508727	4608180
2	72	92	509127	4608180
2	72	96	509527	4608180
2	72	100	509927	4608180
2	72	104	510327	4608180
2	72	108	510727	4608180
2	72	112	511127	4608180
2	72	116	511527	4608180
2	76	44	504327	4607780
2	76	48	504727	4607780
2	76	56	505527	4607780
2	76	88	508727	4607780
2	76	92	509127	4607780
2	76	96	509527	4607780
2	76	100	509927	4607780
2	76	104	510327	4607780
2	76	108	510727	4607780
2	76	112	511127	4607780
2	76	116	511527	4607780
2	80	88	508727	4607380
2	80	92	509127	4607380
2	80	96	509527	4607380
2	80	100	509927	4607380
2	80	104	510327	4607380
2	80	108	510727	4607380
2	80	112	511127	4607380
2	80	116	511527	4607380
2	84	108	510727	4606980
2	84	112	511127	4606980
2	84	116	511527	4606980
2	88	116	511527	4606580
2	88	120	511927	4606580
2	92	120	511927	4606180
2	96	120	511927	4605780
2	96	124	512327	4605780
2	100	124	512327	4605380
2	100	128	512727	4605380
2	104	128	512727	4604980
2	104	132	513127	4604980
2	108	124	512327	4604580
2	108	132	513127	4604580
2	108	136	513527	4604580
2	112	124	512327	4604180
2	112	132	513127	4604180
2	112	136	513527	4604180
2	124	136	513527	4602980
2	128	140	513927	4602580
2	128	144	514327	4602580
2	128	148	514727	4602580
2	128	152	515127	4602580
2	128	160	515927	4602580
2	128	164	516327	4602580
2	132	144	514327	4602180
2	132	148	514727	4602180
2	132	152	515127	4602180
2	132	156	515527	4602180
2	132	160	515927	4602180
2	132	164	516327	4602180
2	116	16	501527	4603780
2	116	20	501927	4603780
2	116	24	502327	4603780
2	116	28	502727	4603780
2	116	32	503127	4603780
2	116	36	503527	4603780
2	120	20	501927	4603380
2	120	24	502327	4603380
2	120	28	502727	4603380
2	124	20	501927	4602980
2	124	24	502327	4602980
2	124	28	502727	4602980
2	124	32	503127	4602980
2	128	20	501927	4602580
2	128	24	502327	4602580
2	128	28	502727	4602580
2	128	32	503127	4602580
2	132	40	503927	4602180
2	116	80	507927	4603780
2	120	80	507927	4603380
2	124	76	507527	4602980
2	128	72	507127	4602580
2	132	68	506727	4602180
2	132	72	507127	4602180
2	128	116	511527	4602580
2	132	112	511127	4602180
2	116	124	512327	4603780
2	116	128	512727	4603780
2	116	136	513527	4603780
2	120	124	512327	4603380
2	120	128	512727	4603380
2	120	136	513527	4603380
2	124	124	512327	4602980
2	124	128	512727	4602980
2	124	132	513127	4602980
2	128	120	511927	4602580
2	128	124	512327	4602580
2	128	132	513127	4602580
2	132	116	511527	4602180
2	132	120	511927	4602180
2	132	124	512327	4602180
2	132	132	513127	4602180
2	132	136	513527	4602180
