LINE_NO,FID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,RHO_I,RHO_I_STD
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,797.1689780273438,919.6,115.881,133.861,376.2,1.0688
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,777.9489780273437,919.6,133.861,154.321,373.5,1.0701
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,756.0789780273437,919.6,154.321,177.601,370.4,1.0728
100101,11.0,125,14,1,501441.5790558598,4602760.851275866,731.1939780273437,919.6,177.601,204.091,367.2,1.0771
100101,12.0,125,14,0,501476.65556300763,4602773.387473992,921.0399780273438,915.9,0.0,2.0,133.9,1.123
100101,12.0,125,14,0,501476.65556300763,4602773.387473992,918.9019780273437,915.9,2.0,4.276,133.7,1.111
100101,12.0,125,14,0,501476.65556300763,4602773.387473992,916.4689780273437,915.9,4.276,6.866,133.4,1.0993
100101,12.0,125,14,0,501476.65556300763,4602773.387473992,913.7004780273437,915.9,6.866,9.813,133.0,1.0866
100101,12.0,125,14,0,501476.65556300763,4602773.387473992,910.5504780273437,915.9,9.813,13.166,132.5,1.0729
100101,12.0,125,14,0,501476.65556300763,4602773.387473992,906.9659780273438,915.9,13.166,16.982,50.44,1.0577
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,902.8869780273437,915.9,16.982,21.324,50.33,1.0447
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,898.2454780273438,915.9,21.324,26.265,50.42,1.0374
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,892.9639780273437,915.9,26.265,31.887,50.73,1.039
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,886.9544780273437,915.9,31.887,38.284,51.1,1.047
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,880.1164780273438,915.9,38.284,45.563,224.6,1.0576
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,872.3354780273437,915.9,45.563,53.846,322.9,1.0641
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,863.4814780273438,915.9,53.846,63.271,325.7,1.0673
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,853.4089780273438,915.9,63.271,73.991,325.8,1.0681
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,841.9489780273437,915.9,73.991,86.191,324.9,1.0674
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,828.9039780273438,915.9,86.191,100.081,323.1,1.0658
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,814.0589780273438,915.9,100.081,115.881,320.5,1.0644
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,797.1689780273438,915.9,115.881,133.861,317.4,1.0638
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,777.9489780273437,915.9,133.861,154.321,314.0,1.0649
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,756.0789780273437,915.9,154.321,177.601,310.7,1.0679
100101,12.0,125,14,1,501476.65556300763,4602773.387473992,731.1939780273437,915.9,177.601,204.091,307.6,1.0729
100101,13.0,125,15,0,501511.31702532264,4602788.195043963,915.3099975585938,913.1,0.0,2.0,244.9,1.121
100101,13.0,125,15,0,501511.31702532264,4602788.195043963,913.1719975585937,913.1,2.0,4.276,244.8,1.11
100101,13.0,125,15,0,501511.31702532264,4602788.195043963,910.7389975585937,913.1,4.276,6.866,244.4,1.0999
100101,13.0,125,15,0,501511.31702532264,4602788.195043963,907.9704975585937,913.1,6.866,9.813,243.9,1.0895
100101,13.0,125,15,0,501511.31702532264,4602788.195043963,904.8204975585937,913.1,9.813,13.166,243.2,1.0791
100101,13.0,125,15,0,501511.31702532264,4602788.195043963,901.2359975585938,913.1,13.166,16.982,242.3,1.0679
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,897.1569975585937,913.1,16.982,21.324,61.78,1.0548
100101,13.0,125,15,1,501511.31702532264,4602788.195043963,892.5154975585938,913.1,21.324,26.265,54.63,1.0438
