WELL_INFO_ID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,tex
17028,319,110,1,511038.608374743,4583420.267364215,858.4924146484375,878.61648,18.288,19.5072,Very_Coarse
17029,205,156,0,515661.47339605686,4594778.3330789935,890.975229296875,890.927352,0.0,0.6096,Mixed_Fine
17029,205,156,0,515661.47339605686,4594778.3330789935,880.307229296875,890.927352,0.6096,21.336,Mixed_Fine
17029,205,156,1,515661.47339605686,4594778.3330789935,850.132029296875,890.927352,21.336,60.96,Very_Coarse
17038,172,143,0,514279.234202884,4598098.542957188,864.1975755859376,865.924608,0.0,0.3048,Mixed_Fine
17038,172,143,0,514279.234202884,4598098.542957188,861.6067755859375,865.924608,0.3048,5.1816,Mixed_Fine
17038,172,143,0,514279.234202884,4598098.542957188,858.8635755859375,865.924608,5.1816,5.7912,Mixed_Coarse
17038,172,143,0,514279.234202884,4598098.542957188,857.4919755859376,865.924608,5.7912,7.9248,Mixed_Fine
17038,172,143,0,514279.234202884,4598098.542957188,854.9011755859375,865.924608,7.9248,10.9728,Mixed_Coarse
17038,172,143,0,514279.234202884,4598098.542957188,850.9387755859375,865.924608,10.9728,15.8496,Mixed_Coarse
17038,172,143,1,514279.234202884,4598098.542957188,847.5859755859375,865.924608,15.8496,17.6784,Mixed_Fine
17038,172,143,1,514279.234202884,4598098.542957188,843.3187755859375,865.924608,17.6784,24.384,Mixed_Coarse
17038,172,143,1,514279.234202884,4598098.542957188,836.0035755859375,865.924608,24.384,32.3088,Mixed_Coarse
17038,172,143,1,514279.234202884,4598098.542957188,826.8595755859375,865.924608,32.3088,42.672,Mixed_Coarse
17038,172,143,1,514279.234202884,4598098.542957188,820.7635755859375,865.924608,42.672,44.5008,Mixed_Fine
17039,254,94,0,509466.00749302073,4589882.736795983,873.0879755859376,877.500912,0.0,1.524,Mixed_Coarse
17039,254,94,0,509466.00749302073,4589882.736795983,870.8019755859375,877.500912,1.524,4.572,Mixed_Coarse
17039,254,94,0,509466.00749302073,4589882.736795983,868.2111755859376,877.500912,4.572,6.7056,Sand
17039,254,94,0,509466.00749302073,4589882.736795983,866.0775755859376,877.500912,6.7056,8.8392,Mixed_Coarse
17039,254,94,0,509466.00749302073,4589882.736795983,863.9439755859376,877.500912,8.8392,10.9728,Sand
17039,254,94,0,509466.00749302073,4589882.736795983,862.2675755859375,877.500912,10.9728,12.192,Sand
17043,107,126,0,512668.8829996832,4604557.280154369,828.0752048828125,828.72072,0.0,0.6096,Mixed_Fine
17043,107,126,0,512668.8829996832,4604557.280154369,824.4176048828125,828.72072,0.6096,7.3152,Mixed_Fine
17043,107,126,0,512668.8829996832,4604557.280154369,820.4552048828125,828.72072,7.3152,8.5344,Sand
17043,107,126,0,512668.8829996832,4604557.280154369,817.2548048828126,828.72072,8.5344,13.716,Sand
17043,107,126,0,512668.8829996832,4604557.280154369,813.4448048828125,828.72072,13.716,16.1544,Mixed_Fine
17043,107,126,1,512668.8829996832,4604557.280154369,809.0252048828125,828.72072,16.1544,22.5552,Mixed_Coarse
17043,107,126,1,512668.8829996832,4604557.280154369,802.7768048828125,828.72072,22.5552,28.6512,Mixed_Fine
17043,107,126,1,512668.8829996832,4604557.280154369,795.7664048828125,828.72072,28.6512,36.576,Sand
17044,254,78,0,507864.51934440294,4589870.2220706735,944.6319926757812,944.9562,0.0,6.096,Mixed_Fine
17044,254,78,0,507864.51934440294,4589870.2220706735,939.2979926757813,944.9562,6.096,10.668,Mixed_Fine
17044,254,78,0,507864.51934440294,4589870.2220706735,933.9639926757812,944.9562,10.668,16.764,Mixed_Fine
17044,254,78,1,507864.51934440294,4589870.2220706735,927.8679926757812,944.9562,16.764,22.86,Mixed_Fine
17044,254,78,1,507864.51934440294,4589870.2220706735,921.7719926757812,944.9562,22.86,28.956,Mixed_Fine
17044,254,78,1,507864.51934440294,4589870.2220706735,915.6759926757812,944.9562,28.956,35.052,Mixed_Coarse
17044,254,78,1,507864.51934440294,4589870.2220706735,909.5799926757812,944.9562,35.052,41.148,Mixed_Fine
17046,237,142,0,514275.2730917588,4591578.334041249,853.2820170898437,856.89948,0.0,6.096,Mixed_Fine
17046,237,142,0,514275.2730917588,4591578.334041249,844.1380170898437,856.89948,6.096,18.288,Mixed_Fine
17046,237,142,1,514275.2730917588,4591578.334041249,836.5180170898437,856.89948,18.288,21.336,Mixed_Fine
17046,237,142,1,514275.2730917588,4591578.334041249,830.4220170898437,856.89948,21.336,30.48,Mixed_Fine
17046,237,142,1,514275.2730917588,4591578.334041249,816.7060170898437,856.89948,30.48,48.768,Mixed_Fine
17062,156,94,0,509406.3551362927,4599715.018044495,841.19121953125,843.927192,0.0,3.6576,Mixed_Fine
17062,156,94,0,509406.3551362927,4599715.018044495,836.31441953125,843.927192,3.6576,9.7536,Very_Coarse
17062,156,94,0,509406.3551362927,4599715.018044495,830.06601953125,843.927192,9.7536,16.1544,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,823.81761953125,843.927192,16.1544,22.2504,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,818.63601953125,843.927192,22.2504,26.5176,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,813.45441953125,843.927192,26.5176,32.6136,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,807.20601953125,843.927192,32.6136,39.0144,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,800.95761953125,843.927192,39.0144,45.1104,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,796.38561953125,843.927192,45.1104,48.1584,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,793.18521953125,843.927192,48.1584,51.5112,Very_Coarse
17062,156,94,1,509406.3551362927,4599715.018044495,788.46081953125,843.927192,51.5112,57.6072,Very_Coarse
17063,188,78,0,507780.37036798423,4596469.980116027,857.4484073242188,860.855784,0.0,2.7432,Mixed_Fine
17063,188,78,0,507780.37036798423,4596469.980116027,855.6196073242188,860.855784,2.7432,3.6576,Mixed_Coarse
17063,188,78,0,507780.37036798423,4596469.980116027,854.2480073242187,860.855784,3.6576,5.4864,Mixed_Fine
17063,188,78,0,507780.37036798423,4596469.980116027,852.5716073242188,860.855784,5.4864,7.0104,Mixed_Coarse
17063,188,78,0,507780.37036798423,4596469.980116027,850.7428073242188,860.855784,7.0104,9.144,Mixed_Fine
17063,188,78,0,507780.37036798423,4596469.980116027,849.2188073242188,860.855784,9.144,10.0584,Mixed_Coarse
17063,188,78,0,507780.37036798423,4596469.980116027,848.3044073242188,860.855784,10.0584,10.9728,Mixed_Fine
17063,188,78,0,507780.37036798423,4596469.980116027,846.7804073242188,860.855784,10.9728,13.1064,Mixed_Coarse
17063,188,78,0,507780.37036798423,4596469.980116027,844.0372073242188,860.855784,13.1064,16.4592,Mixed_Fine
17063,188,78,1,507780.37036798423,4596469.980116027,840.9892073242188,860.855784,16.4592,19.2024,Mixed_Coarse
17065,271,78,0,507850.1987990242,4588205.480205929,934.3183975585938,942.48732,0.0,17.9832,Mixed_Fine
17065,271,78,1,507850.1987990242,4588205.480205929,922.8883975585937,942.48732,17.9832,22.86,Very_Coarse
17077,156,62,0,506192.9122810815,4599679.95500635,873.6656170898437,876.662712,0.0,1.8288,Sand
17077,156,62,0,506192.9122810815,4599679.95500635,871.3796170898438,876.662712,1.8288,4.572,Very_Coarse
17077,156,62,0,506192.9122810815,4599679.95500635,867.7220170898438,876.662712,4.572,9.144,Very_Coarse
17077,156,62,0,506192.9122810815,4599679.95500635,865.2836170898438,876.662712,9.144,9.4488,Mixed_Coarse
17077,156,62,1,506192.9122810815,4599679.95500635,842.4236170898438,876.662712,9.4488,54.864,Very_Coarse
