Month East_Fork_Avg_Flow_m3day South_Fork_Avg_Flow_m3day Sugar_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
1998-04-01 490431.208577477 269006.811481216 93452.3903891567 213067.852990337 423817.732683552 30848.0830225646 23136.0622669234 154240.415112823 520621.534217235 98624.8224403381 86311.133041772 315629.003143043
1998-05-01 579169.608958676 303488.986708945 106572.696591417 256582.168563933 498000.333105976 36711.6074297848 27533.7055723386 183558.037148924 631171.354044573 118035.756718495 92347.8999423611 352723.199555475
1998-06-01 600743.468835043 314520.621920846 110469.142918085 266238.524137367 516501.469387213 38084.6786708868 28563.5090031651 190423.393354434 655008.77787536 122463.614399187 95608.3569706861 365478.546585991
1998-07-01 257444.610378029 162497.817512495 54614.6397352645 105333.871719426 225929.871242305 15814.2747450104 11860.7060587578 79071.3737250519 252122.505114624 49690.5380367099 61358.2801691076 196302.906414576
1998-08-01 60256.328160212 53080.3533152731 16492.6482766084 21381.0529749312 54849.4480108408 3499.06290892212 2624.29718169159 17495.3145446106 48730.3440957159 10550.9311284362 29502.4957055916 68719.8126975961
1998-09-01 37721.1988170459 37280.184711442 11273.649110992 12742.7699504576 34772.4607601602 2148.36519661994 1611.27389746496 10741.8259830997 28555.6818964225 6386.67224649282 23678.140874257 49431.4639846807
1998-10-01 54114.1473420979 48860.6984758932 15093.547915728 19000.1777792443 49391.9370573083 3129.33648911226 2347.0023668342 15646.6824455613 43147.2493706282 9407.34725348386 27945.6926301586 63581.9669153307
1998-11-01 250753.899229717 160437.266246491 53749.9790655815 102003.143920783 220386.023241427 15368.0625825429 11526.0469369072 76840.3129127147 243663.816008738 48207.5858137016 61541.2742187069 194360.778777024
1998-12-01 327258.790408393 195494.756248999 66562.8361116634 137087.020829678 285467.951743504 20290.4238325478 15217.8178744108 101452.119162739 330791.905639012 64190.4975667019 69249.8340952395 233478.025381756
1999-01-01 401165.945976497 228701.429724715 78731.3515100887 171436.245123455 348147.654904538 25069.6038068026 18802.2028551019 125348.019034013 416527.864980001 79769.1461214999 76737.9208916144 270497.698017137
1999-02-01 553983.732535003 300201.535767164 104587.891532641 241929.238999018 478101.429410333 34916.9103803782 26187.6827852837 174584.551901891 592197.901054529 111800.786336261 94974.1050199955 351343.625782918
1999-03-01 528808.168942953 282946.259498752 98871.3690962233 232190.216957045 455739.608683848 33401.5238877196 25051.1429157897 167007.619438598 569419.211195278 107116.427393339 88207.5422819008 330277.242327792
1999-04-01 455978.893365817 254326.188580943 88005.0518680199 196689.846203457 394768.283209825 28600.2716920444 21450.2037690333 143001.358460222 479423.29274569 91249.6330966233 83198.6012618147 299442.122377163
1999-05-01 560910.141458123 296090.14390931 103794.57003662 247713.37131993 482689.063596456 35510.1344164164 26632.6008123123 177550.672082082 608696.75189842 114069.086261358 90868.1745833983 344650.049569776
1999-06-01 440755.705816125 247758.912324672 85575.2847439106 189491.076727514 381915.040018812 27609.112703254 20706.8345274405 138045.56351627 461347.88782379 88002.541706863 81786.2141884072 292182.48460065
1999-07-01 110186.659529709 84506.7337160229 27128.3106995037 41482.5122148919 98786.7294270393 6549.77145656737 4912.32859242553 32748.8572828368 96488.8401365069 20090.8717643137 39997.5371230729 106302.159773878
